"","ngrams","freq","prop","pol_count","neg_count","fear_count","disgust_count","anger_count","pos_count"
"1","de ",1996,0.0171729946915142,0,0,0,0,0,0
"2","que ",1690,0.0145402610364023,0,0,0,0,0,0
"3","y ",1143,0.00983403453527089,0,0,0,0,0,0
"4","o ",946,0.00813910469848317,0,0,0,0,0,0
"5","e ",864,0.00743360090855122,0,0,0,0,0,0
"6","la ",809,0.0069603971470115,0,0,0,0,0,0
"7","el ",628,0.00540312658630806,0,0,0,0,0,0
"8","en ",576,0.00495573393903415,0,0,0,0,0,0
"9","é ",559,0.0048094709581946,0,0,0,0,0,0
"10","se ",537,0.00462018945357871,0,0,0,0,0,0
"11","eu ",501,0.00431045608238908,0,0,0,0,0,0
"12","like ",499,0.00429324867287854,0,0,0,0,0,0
"13","q ",481,0.00413838198728372,0,0,0,0,0,0
"14","’s ",474,0.00407815605399685,0,0,0,0,0,0
"15","just ",444,0.00382004491133882,0,0,0,0,0,0
"16","por ",391,0.00336404855930964,0,0,0,0,0,0
"17","não ",375,0.00322638928322536,0,0,0,0,0,0
"18","es ",337,0.00289944850252519,0,0,0,0,0,0
"19","un ",333,0.00286503368350412,0,0,0,0,0,0
"20","para ",322,0.00277039293119617,0,0,0,0,0,0
"21","lo ",307,0.00264133735986716,0,0,0,0,0,0
"22","los ",300,0.00258111142658029,0,0,0,0,0,0
"23","get ",274,0.00235741510294333,0,0,0,0,0,0
"24","pra ",266,0.00228858546490119,0,0,0,0,0,0
"25","con ",265,0.00227998176014592,0,0,0,0,0,0
"26","com ",253,0.00217673730308271,0,0,0,0,0,0
"27","da ",251,0.00215952989357217,0,0,0,0,0,0
"28","can ",243,0.00209070025553003,0,0,0,0,0,0
"29","one ",240,0.00206488914126423,0,0,0,0,0,0
"30","na ",229,0.00197024838895628,0,0,0,0,0,0
"31","um ",225,0.00193583356993521,0,0,0,0,0,0
"32","como ",221,0.00190141875091414,0,0,0,0,0,0
"33","will ",220,0.00189281504615888,0,0,0,0,0,0
"34","las ",214,0.00184119281762727,0,0,0,0,0,0
"35","love ",213,0.001832589112872,0,0,0,0,0,1
"36","know ",209,0.00179817429385093,0,0,0,0,0,0
"37","’m ",209,0.00179817429385093,0,0,0,0,0,0
"38","em ",203,0.00174655206531933,0,0,0,0,0,0
"39","time ",201,0.00172934465580879,0,0,0,0,0,0
"40","u ",200,0.00172074095105352,0,0,0,0,0,0
"41","una ",195,0.00167772242727719,0,0,0,0,0,0
"42","good ",194,0.00166911872252192,0,0,0,0,0,1
"43","mas ",193,0.00166051501776665,0,0,0,0,0,0
"44","te ",189,0.00162610019874558,0,0,0,0,0,0
"45","think ",183,0.00157447797021397,0,0,0,0,0,0
"46","si ",180,0.00154866685594817,0,0,0,0,0,0
"47","uma ",179,0.0015400631511929,0,0,0,0,0,0
"48","le ",176,0.0015142520369271,0,0,0,0,0,0
"49","people ",172,0.00147983721790603,1,0,0,0,0,0
"50","pero ",169,0.00145402610364023,0,0,0,0,0,0
"51","mi ",165,0.00141961128461916,0,0,0,0,0,0
"52","mais ",161,0.00138519646559809,0,0,0,0,0,0
"53","don’t ",161,0.00138519646559809,0,0,0,0,0,0
"54","now ",155,0.00133357423706648,0,0,0,0,0,0
"55","del ",152,0.00130776312280068,0,0,0,0,0,0
"56","want ",152,0.00130776312280068,0,0,0,0,0,0
"57","need ",150,0.00129055571329014,0,0,0,0,0,0
"58","see ",150,0.00129055571329014,0,0,0,0,0,0
"59","got ",148,0.00127334830377961,0,0,0,0,0,0
"60","go ",148,0.00127334830377961,0,0,0,0,0,0
"61","amp ",145,0.0012475371895138,0,0,0,0,0,0
"62","tem ",144,0.00123893348475854,0,0,0,0,0,0
"63","ser ",142,0.001221726075248,0,0,0,0,0,0
"64","al ",140,0.00120451866573747,0,0,0,0,0,0
"65","really ",136,0.0011701038467164,0,0,0,0,0,0
"66","ya ",130,0.00111848161818479,0,0,0,0,0,0
"67","make ",130,0.00111848161818479,0,0,0,0,0,0
"68","n ",130,0.00111848161818479,0,0,0,0,0,0
"69","más ",128,0.00110127420867426,0,0,0,0,0,0
"70","even ",128,0.00110127420867426,0,0,0,0,0,0
"71","day ",126,0.00108406679916372,0,0,0,0,0,0
"72","minha ",125,0.00107546309440845,0,0,0,0,0,0
"73","still ",124,0.00106685938965318,0,0,0,0,0,0
"74","much ",124,0.00106685938965318,0,0,0,0,0,0
"75","só ",122,0.00104965198014265,0,0,0,0,0,0
"76","yo ",120,0.00103244457063211,0,0,0,0,0,0
"77","su ",119,0.00102384086587685,0,0,0,0,0,0
"78","meu ",119,0.00102384086587685,0,0,0,0,0,0
"79","foi ",119,0.00102384086587685,0,0,0,0,0,0
"80","going ",118,0.00101523716112158,0,0,0,0,0,0
"81","isso ",117,0.00100663345636631,0,0,0,0,0,0
"82","todo ",114,0.000980822342100508,0,0,0,0,0,0
"83","vai ",113,0.000972218637345241,0,0,0,0,0,0
"84","os ",113,0.000972218637345241,0,0,0,0,0,0
"85","right ",112,0.000963614932589973,0,0,0,0,0,0
"86","tu ",109,0.00093780381832417,0,0,0,0,0,0
"87","won ",109,0.00093780381832417,0,0,0,0,0,0
"88","points ",108,0.000929200113568903,0,0,0,0,0,0
"89","never ",105,0.0009033889993031,0,0,0,0,0,0
"90","say ",104,0.000894785294547832,0,0,0,0,0,0
"91","gente ",104,0.000894785294547832,0,0,0,0,0,0
"92","ele ",103,0.000886181589792565,0,0,0,0,0,0
"93","new ",100,0.000860370475526762,0,0,0,0,0,0
"94","ver ",100,0.000860370475526762,0,0,0,0,0,0
"95","já ",99,0.000851766770771494,0,0,0,0,0,0
"96","vc ",98,0.000843163066016227,0,0,0,0,0,0
"97","back ",98,0.000843163066016227,0,0,0,0,0,0
"98","está ",98,0.000843163066016227,0,0,0,0,0,0
"99","way ",98,0.000843163066016227,0,0,0,0,0,0
"100","pq ",95,0.000817351951750424,0,0,0,0,0,0
